id,date,time,shop,category,subcategory,item,qty,unit,unit_price,amount,paid_by,notes,source,synced_at
TEST-1782990687582,2026-07-02,,EDITOR TEST,Other,Miscellaneous,test row — safe to delete,,,,0,,,test,7/2/2026 16:41:28
mr3du3xnbr8jn,2026-06-27,21:49,CARGILLS FOOD CITY,Consumables,Cleaning & detergents,My Choice Garbage Bag - Medium,1,pcs,335,335,cash + loyalty points,Invoice 299,scan,7/2/2026
mr3du3xo4sid5,2026-06-27,21:49,CARGILLS FOOD CITY,Grocery,Rice,Keeri Samba Bulk,1,pcs,260,260,cash + loyalty points,Invoice 299,scan,7/2/2026
TEST-1782991919606,2026-07-02,,EDITOR TEST,Other,Miscellaneous,test row — safe to delete,,,,0,,,test,7/2/2026 17:02:00
mr3fkru62ipe2,2026-06-27,11:53,CARGILLS FOOD CITY,Grocery,Dairy & milk,Kotmale Set Kiri,1,pcs,180,180,cash,Invoice 49,scan,7/2/2026
mr3fkru7ikvew,2026-06-27,11:53,CARGILLS FOOD CITY,Grocery,Sugar,My Choice Brown Sugar Pkt,1,pcs,285,285,cash,Invoice 49,scan,7/2/2026
mr3fkru7danfa,2026-06-27,11:53,CARGILLS FOOD CITY,Grocery,Salt & spices,Freelan Mustard Seeds,1,pcs,50,50,cash,Invoice 49,scan,7/2/2026
mr3fkru7qapap,2026-06-27,11:53,CARGILLS FOOD CITY,Grocery,Dairy & milk,Highland Plain Yoghurt,4,pcs,80,320,cash,Invoice 49,scan,7/2/2026
mr3fkru79s6o0,2026-06-27,11:53,CARGILLS FOOD CITY,Other,Miscellaneous,Amritha Incense Sticks Green,1,pcs,160,160,cash,Invoice 49,scan,7/2/2026
mr3fkru7lhqis,2026-06-27,11:53,CARGILLS FOOD CITY,Grocery,Dairy & milk,Ambewela Butter Salted,1,pcs,1200,1080,cash,Invoice 49,scan,7/2/2026
mr3fkru7v3567,2026-06-27,11:53,CARGILLS FOOD CITY,Grocery,Salt & spices,Navin Oregano,1,pcs,161,161,cash,Invoice 49,scan,7/2/2026
mr3fkru7lqqjt,2026-06-27,11:53,CARGILLS FOOD CITY,Grocery,Rice,Ruhunu Red Rice Flour,1,pcs,190,190,cash,Invoice 49,scan,7/2/2026
